ステージID,ステージ名,教材名,教材カテゴリ,章番号,章名,推奨日数,標準時間（分/章）,総章数,入門レベル,推奨周回数,備考,画像のアドレス
E1,英単語基礎,システム英単語Basic,英単語,*,*,常時,20,1500語,初級,N,中学版やTarget1200でも可。基礎単語の徹底。,
E1,英単語基礎,Stock3000,英単語,*,*,常時,20,3000語,初級,N,CASTDICE推奨。基礎から学び直す人向け。,
E1,英単語基礎,英単語ターゲット1400,英単語,*,*,常時,20,1400語,初級,N,CASTDICE推奨。基礎固め用。,
E2,英単語標準,システム英単語,英単語,1-1200,各章,常時,20,1200語,初級,N,1200番までが基礎。1日100個ペース推奨。,
E2,英単語標準,英単語ターゲット1900,英単語,1-800,各章,常時,20,800語,初級,N,800番までが基礎。,
E2,英単語標準,Stock4500,英単語,*,*,常時,20,4500語,中級,N,CASTDICE推奨。標準レベルの単語。,
E2,英単語標準,鉄緑会東大英単語熟語 鉄壁,英単語,*,各Section,常時,30,約3000語,上級,N,CASTDICE推奨。語源や派生語に強い。自信がある人向け。,
E3,英熟語,速読英熟語,英熟語,*,各章,常時,20,約850語,中級,N,文章は最初は読まなくても良い。熟語を覚えること優先。,
E3,英熟語,英熟語ターゲット1000,英熟語,*,各章,常時,20,1000語,中級,N,シンプルに覚えたい人向け。,
E3,英熟語,Idiom Master 500,英熟語,*,各章,常時,20,500語,中級,N,CASTDICE推奨。厳選された500語。,
E3,英熟語,英熟語図鑑,英熟語,*,各章,常時,20,全編,中級,N,CASTDICE推奨。イメージで覚える。,
E4,中学復習,中学英語をもう一度ひとつひとつわかりやすく。,文法,*,各章,14,30,全編,初級,1,中学英語に不安がある場合はここから。,
E4,基礎文法,大岩のいちばんはじめの英文法【超基礎文法編】,文法,1-25,各講,14,30,25講,初級,2,読んで閉じて説明できるか確認。「わかったつもり」を防ぐ。,https://m.media-amazon.com/images/I/71aVXsROpTL._SY522_.jpg
E4,基礎文法,肘井学のゼロから英文法が面白いほどわかる本,文法,*,各テーマ,14,30,全編,初級,2,CASTDICE推奨。基礎文法の導入に最適。,
E5,文法ドリル,英文法パターンドリル,文法演習,*,各章,21,20,全編,初級,2,文を作ることで理解を深める。,
